feature,importance
meeting_hours,0.37597679194498823
work_life_balance_score,0.1000821374331495
daily_active_hours,0.09889718189551894
meeting_to_work_ratio,0.06251433655917624
meetings_per_week,0.021876439342092536
overtime_hours,0.012914220383410734
initiative_score,0.010185828110509323
email_after_hours_ratio,0.010020946283706526
hours_logged,0.00933364177593344
meeting_participation_score,0.008514573776299971
focus_time_hours,0.008295232857617496
sentiment_chat_score,0.008132274761745332
work_hours_per_day,0.007912502884854768
morning_productivity_score,0.007659830545254088
punctuality_score,0.006708347753862203
biometric_match_score,0.006430494913182783
dependency_wait_time_hours,0.006122663965738298
meeting_acceptance_rate,0.006067375765342289
skill_utilization_score,0.005612971726599594
declined_meetings,0.005575379006886667
task_switching_rate,0.005546657568042649
average_email_length,0.005534383899547246
status_available_percentage,0.005300138583757013
team_engagement_score,0.0052607282849318916
emails_received,0.005041265699153203
response_rate,0.005038110466159306
average_message_length,0.004948934187978431
sentiment_email_score,0.004910752215266792
documentation_quality_score,0.004871937833070228
code_commit_consistency,0.004783049439317343
tool_switch_frequency,0.004703733450104651
weekend_work_hours,0.004647638069576606
communication_balance,0.004571880429760431
meeting_preparation_score,0.004567955583383861
github_pr_merge_time,0.004357229713461602
message_after_hours_ratio,0.004223189336389776
quality_score,0.004183164703163217
urgent_tasks_percentage,0.004125376736671829
document_edits,0.00406452393327442
status_away_percentage,0.004058749889783062
bugs_fixed,0.004039390431381188
context_switches_per_day,0.0038166862956926753
avg_pr_size_lines,0.003798279461635466
pr_merge_rate,0.0037809449214065063
blocked_time_hours,0.0037409026595749315
messages_received,0.0037161999509557667
after_hours_activity_ratio,0.0033129542255042085
self_directed_work_percentage,0.0032216898571700214
informal_chats_per_week,0.0030492919253002283
afternoon_productivity_score,0.0030333148483635
work_pattern_consistency,0.002982554553169761
training_hours,0.002949941984921283
decision_making_authority_score,0.0029178702619323876
peer_interaction_frequency,0.0028435016636202542
process_compliance_score,0.0027376868054765652
task_velocity,0.0027273141334822107
deep_work_blocks,0.0026845830902398437
code_review_time_hours,0.002683053213602528
email_response_time,0.002633982826139728
status_busy_percentage,0.0026023415222450664
emails_sent,0.002552433376926016
code_review_comments_received,0.002516831647559874
shared_files,0.0024503877574848874
collaboration_score,0.0023840163950432053
reactions_given,0.0023141386227808003
response_time_minutes,0.002275783757739554
mentor_hours_per_week,0.0022584881798188134
messages_sent,0.002235189963288867
attendance_rate,0.0022221874269681293
avg_task_completion_time,0.002113605850519104
role_Tech Lead,0.0020440188750023257
task_completion_rate,0.0018820240729618709
age,0.0018503590403880937
avg_first_response_time_hours,0.0017315122624651756
interruptions_per_day,0.001692153640377186
projects_active,0.0015674299003804791
after_hours_emails,0.0015345560500399857
deliverables_completed,0.00152123872496864
experience_years,0.0014937519774641014
voluntary_contributions,0.0013063628138789054
commits_per_week,0.0012967325900492459
refactoring_commits,0.0012341988500701702
tasks_assigned,0.0012324130526143633
after_hours_messages,0.0011727942430602271
bugs_reported,0.0011456673244580149
unique_contacts_per_week,0.001083650772907144
late_arrivals,0.001061495988463074
sick_days,0.0010362627334997124
feedback_received_count,0.000981167886461258
coffee_breaks_per_day,0.000952039978462309
tools_used,0.0009082511438243428
documentation_contributions,0.0008803837763953828
role_Developer,0.000815532906261844
cross_team_interactions,0.0007946954350470405
days_off_taken,0.0007278668340811584
tasks_completed_early,0.0007273420220580366
new_ideas_proposed,0.0007051765934950804
tasks_completed_per_week,0.0007042372565799593
feedback_given_count,0.0006871163900660596
prs_reviewed,0.0006103535061455697
team_size,0.0005344828071306865
experiments_run,0.0005153335161313646
new_technologies_learned,0.00046994146522211244
lunch_break_minutes,0.00043326047645670117
role_Senior Developer,0.00036330466856303187
prs_created,0.0003589973290263966
knowledge_base_contributions,0.00035788314903266205
concurrent_tasks,0.0003529922001086042
one_on_ones_conducted,0.0003316882596542551
role_Manager,0.00032392617397856044
role_Designer,0.00027087864935392166
days_worked_per_week,8.038411681714382e-05
role_QA Engineer,5.4858357401837545e-05
overdue_tasks,3.162870590311575e-06
