feature,importance
commits_per_week,0.28313231632399183
avg_pr_size_lines,0.20747577724863644
pr_merge_rate,0.12634900280963637
task_completion_rate,0.08785275161393402
prs_created,0.08062213742382361
code_review_comments_received,0.07243333516400828
deliverables_completed,0.0521828845822476
meeting_to_work_ratio,0.020812278283774042
meeting_hours,0.017530102870183403
tasks_completed_per_week,0.012058766252604677
task_velocity,0.01111295608418145
code_commit_consistency,0.008099041731395135
meetings_per_week,0.0027919775187919666
quality_score,0.0027910225557653584
blocked_time_hours,0.0009593597456370009
focus_time_hours,0.0008573117685616499
weekend_work_hours,0.0008437395707494784
meeting_preparation_score,0.0006462998988397484
dependency_wait_time_hours,0.0006260005274345222
initiative_score,0.0006170245709146301
work_pattern_consistency,0.0005210938161674981
refactoring_commits,0.00045093935211748716
voluntary_contributions,0.0004468703537250425
tool_switch_frequency,0.00042953150312405086
meeting_acceptance_rate,0.0003889232127913999
overtime_hours,0.0003760315758139512
email_after_hours_ratio,0.00034607886710536054
average_email_length,0.00032332282369457177
avg_first_response_time_hours,0.00032197337614063245
unique_contacts_per_week,0.00031118328041570734
urgent_tasks_percentage,0.00030465603197844365
reactions_given,0.00029153252851620845
morning_productivity_score,0.00028908325209738803
tasks_completed_early,0.00026693678305267745
email_response_time,0.0002576037111174541
code_review_time_hours,0.00025381430452218134
messages_sent,0.00025082422434913565
daily_active_hours,0.0002399318202098394
team_engagement_score,0.00023664631166431471
attendance_rate,0.0002282965536596045
sentiment_chat_score,0.00022793728937356463
decision_making_authority_score,0.00021874305625441755
hours_logged,0.0002046719842114448
role_Designer,0.00019286219672258475
role_Developer,0.00016185392756217455
message_after_hours_ratio,0.00015298534051803192
documentation_quality_score,0.00015092044200346703
sick_days,0.00014888104422485835
work_life_balance_score,0.00014524573469226252
messages_received,0.00014313850593171296
sentiment_email_score,0.00013772412916175053
tasks_assigned,0.00013758975295147547
response_rate,0.00013584637451831492
status_away_percentage,0.0001332078368877139
process_compliance_score,0.00013278218898477378
lunch_break_minutes,0.00010930731051335292
new_ideas_proposed,9.992947750436061e-05
training_hours,7.648096881398478e-05
mentor_hours_per_week,7.608164774015099e-05
knowledge_base_contributions,7.486864385723343e-05
meeting_participation_score,6.523207042759392e-05
average_message_length,5.9350093957127505e-05
feedback_given_count,5.923409419597906e-05
context_switches_per_day,5.0872428921831135e-05
one_on_ones_conducted,4.9980155486790536e-05
shared_files,4.726256417256279e-05
github_pr_merge_time,4.264186281390812e-05
emails_sent,4.141435225745091e-05
cross_team_interactions,4.119177047054433e-05
communication_balance,3.982671544065394e-05
response_time_minutes,3.4574592499763504e-05
self_directed_work_percentage,3.223702450886699e-05
experience_years,3.142538884096414e-05
peer_interaction_frequency,3.0336765865787383e-05
after_hours_activity_ratio,2.5841080955246273e-05
afternoon_productivity_score,2.523404292736238e-05
after_hours_messages,2.3824854816822525e-05
overdue_tasks,2.297067566746191e-05
collaboration_score,1.5626275710414798e-05
feedback_received_count,1.5412278444611664e-05
status_available_percentage,1.2167203614971731e-05
avg_task_completion_time,1.0609259330160205e-05
bugs_reported,8.65917890495548e-06
interruptions_per_day,6.223835200589659e-06
biometric_match_score,5.269172686056199e-06
after_hours_emails,3.1266728909078785e-06
informal_chats_per_week,2.7803306314614544e-06
task_switching_rate,1.465486505975598e-06
tools_used,1.4326518232746889e-06
skill_utilization_score,1.3732895358612505e-06
concurrent_tasks,1.2722047711052927e-06
late_arrivals,4.915072558346447e-07
punctuality_score,1.399228323540183e-07
deep_work_blocks,8.211583289003164e-08
role_Manager,0.0
role_QA Engineer,0.0
role_Senior Developer,0.0
new_technologies_learned,0.0
age,0.0
experiments_run,0.0
team_size,0.0
documentation_contributions,0.0
days_off_taken,0.0
document_edits,0.0
bugs_fixed,0.0
projects_active,0.0
prs_reviewed,0.0
status_busy_percentage,0.0
declined_meetings,0.0
emails_received,0.0
coffee_breaks_per_day,0.0
days_worked_per_week,0.0
work_hours_per_day,0.0
role_Tech Lead,0.0
