feature,importance
meeting_hours,0.1826777387450853
team_engagement_score,0.17622381461265202
work_life_balance_score,0.11360615075789172
daily_active_hours,0.09604342128061029
focus_time_hours,0.0655603692788658
overtime_hours,0.05550158687399236
hours_logged,0.035306944923586624
experience_years,0.024385751132681467
work_hours_per_day,0.024161117170184158
quality_score,0.024153665502361428
task_switching_rate,0.021336086682647352
urgent_tasks_percentage,0.021241055838217338
attendance_rate,0.02036430631651755
collaboration_score,0.018826818254499653
after_hours_activity_ratio,0.018084125179001546
context_switches_per_day,0.01755992330518813
task_completion_rate,0.015243895153455606
weekend_work_hours,0.01195513133092226
interruptions_per_day,0.011670554486829953
age,0.009791474634201528
late_arrivals,0.008608168028729896
sick_days,0.005921623472240088
deep_work_blocks,0.004698002882124553
role_Senior Developer,0.0038144079886003554
days_off_taken,0.0037779332349068247
role_Developer,0.0027914753937347816
role_Tech Lead,0.002489656011220136
role_Designer,0.001724817814396457
role_Manager,0.0009630772193289125
overdue_tasks,0.0009494244339021665
role_QA Engineer,0.0005674820614238046
