feature,importance
role_Manager,0.31557784173719244
role_Designer,0.30341785456193654
task_completion_rate,0.1436333408120883
role_QA Engineer,0.13308267278178232
meeting_hours,0.039252646662788014
quality_score,0.006419441073376564
team_engagement_score,0.005111399848612535
urgent_tasks_percentage,0.005020360762089972
collaboration_score,0.004974917049376121
focus_time_hours,0.004789884024655091
attendance_rate,0.00453993922230163
experience_years,0.00407001112790029
context_switches_per_day,0.003506584513899263
task_switching_rate,0.003016550746349069
age,0.0028996560277346757
after_hours_activity_ratio,0.002786391603890233
interruptions_per_day,0.002510005261746217
overtime_hours,0.0024734196359499955
hours_logged,0.002141569065106047
work_hours_per_day,0.0021154573396469094
work_life_balance_score,0.0014678131677772024
daily_active_hours,0.001321382073013949
overdue_tasks,0.0010801332069823638
late_arrivals,0.0010074397772823517
weekend_work_hours,0.0008587571022702965
role_Developer,0.0007052800136126232
deep_work_blocks,0.0006263429935326381
sick_days,0.0005243190034062362
days_off_taken,0.0004765672740587915
role_Senior Developer,0.0004323716083860725
role_Tech Lead,0.0001596499212553764
